,Date,AdjClose,Open,High,Low,Close,Volume,avg7,avg10,avg50,avg100,avg200,avg253,SPD_OPEN/CLOSE,SPD_HIGH/LOW,Adj_Close_Returns,Close_Returns,Log_Returns,pos_string,count_pos_string,macd,signal,hist,MACD_1DAY_strategy,MACD_9DAY_strategy,MACD_CONVERGENCE_strategy,RSI,RSI_strategy,OBV,OBV_EMA,OBV_strategy,TSF,TSF_strategy,WILLR,WILLR_strategy,STOCH_K,STOCH_D,STOCH_K_strategy,STOCH_D_strategy,EMA,TEMA,upperband,middleband,lowerband,MOM,stok,stod,CCI,direction
45,2000-03-07 00:00:00,4847.839844,4991.970215,5006.779785,4829.879883,4847.839844,2156410000,4782.944266,4723.908984,0.0,0.0,0.0,0.0,-144.130371,176.899902,-1.162324083,-1.162324085,-0.011691319,0,0,182.1197449,158.0921697,24.02757513,0,0,0,66.76030683,0,15897500000.0,9530919515.0,1,4938.676109,0,-28.23892848,0,85.93483681,89.15416432,-1,-1,4855.99687,114437000000.0,4927.769312,4563.925246,4200.081181,4846.839844,12.80405212,41.92222969,152.2606016,-1
46,2000-03-08 00:00:00,4897.259766,4920.859863,4923.140137,4722.140137,4897.259766,2020130000,4828.574219,4758.601953,0.0,0.0,0.0,0.0,-23.600097,201.0,1.019421505,1.019421507,0.010142604,1,1,184.2192488,163.3175855,20.90166323,0,0,0,68.36914831,0,17917630000.0,9730592708.0,1,4973.21009,0,-19.45846943,-1,79.44868034,84.80440549,0,-1,4876.628318,115902000000.0,4964.656905,4591.32952,4218.002135,4896.259766,29.45121484,28.62917275,116.6536576,1
47,2000-03-09 00:00:00,5046.859863,4913.080078,5047.959961,4857.569824,5046.859863,2006810000,4878.598493,4801.522949,0.0,0.0,0.0,0.0,133.779785,190.390137,3.054771542,3.054771528,0.030090423,1,2,195.6987055,169.7938095,25.90489597,0,0,0,72.67990027,-1,19924440000.0,9968804449.0,1,5056.327513,0,-0.182129394,-1,84.04015756,83.1412249,-1,-1,4961.744091,122079000000.0,5033.505318,4620.822847,4208.140376,5045.859863,68.28695336,36.84740677,144.45267,1
48,2000-03-10 00:00:00,5048.620117,5060.339844,5132.52002,5039.350098,5048.620117,1992170000,4916.389927,4847.334961,0.0,0.0,0.0,0.0,-11.719727,93.169922,0.034878201,0.034878202,0.000348721,1,3,202.6028163,176.3556109,26.24720542,0,0,0,72.72699836,-1,21916610000.0,10242960448.0,1,5099.412759,0,-12.18448014,-1,89.39164034,84.29349275,-1,-1,5005.182104,125314000000.0,5087.357861,4653.459984,4219.562107,5047.620117,45.41770667,47.71862496,141.2770704,1
49,2000-03-13 00:00:00,4907.240234,4879.029785,5027.72998,4839.259766,4907.240234,1736270000,4938.208566,4880.273975,4333.253203,0.0,0.0,0.0,28.210449,188.470214,-2.800366824,-2.800366827,-0.028403248,0,0,194.4249886,179.9694864,14.45550219,0,0,0,63.28963824,0,20180340000.0,10466959445.0,1,5075.899779,0,-39.90432447,0,82.57635533,85.33605108,-1,-1,4956.211169,121671000000.0,5113.488313,4673.536668,4233.585022,4906.240234,10.39531408,41.36665804,89.48578051,-1
50,2000-03-14 00:00:00,4706.629883,4997.310059,5013.490234,4706.609863,4706.629883,1977820000,4908.471401,4881.267969,4345.9996,0.0,0.0,0.0,-290.680176,306.880371,-4.088048312,-4.088048301,-0.041739585,0,0,169.7990843,177.935406,-8.136321687,0,0,0,52.81653921,0,18202520000.0,10638317068.0,1,5007.333281,1,-83.10209794,1,54.93636582,75.63478716,0,0,4831.420526,112708000000.0,5110.442215,4688.354748,4266.267281,4705.629883,-36.17370993,6.54643694,57.24150627,-1
51,2000-03-15 00:00:00,4582.620117,4758.439941,4758.439941,4553.919922,4582.620117,1937800000,4862.438546,4861.121973,4355.029004,0.0,0.0,0.0,-175.819824,204.520019,-2.634788983,-2.634788991,-0.026701216,0,0,138.6777354,170.0838719,-31.40613645,0,0,0,47.57554587,0,16264720000.0,10760848079.0,1,4910.019134,1,-108.7188839,1,22.75823121,53.42365079,0,0,4707.020322,104222000000.0,5103.81636,4696.16762,4288.51888,4581.620117,-34.94033201,-20.23957595,-21.56378499,-1
52,2000-03-16 00:00:00,4717.390137,4658.439941,4717.759766,4455.100098,4717.390137,2041510000,4843.802874,4857.41001,4371.343008,0.0,0.0,0.0,58.950196,262.659668,2.940894425,2.940894435,0.028984797,1,1,123.4654239,160.7601823,-37.29475837,0,0,0,53.0303941,0,18306230000.0,10922454909.0,1,4847.591926,0,-82.07395078,1,8.701689113,28.79876205,1,0,4712.205229,104567000000.0,5098.903765,4710.292387,4321.68101,4716.390137,13.73797058,-19.12535712,-21.23782386,1
53,2000-03-17 00:00:00,4798.129883,4702.029785,4805.939941,4702.029785,4798.129883,1691530000,4829.641462,4845.743994,4389.754805,0.0,0.0,0.0,96.100098,103.910156,1.711534212,1.71153421,0.016970525,1,2,116.5807104,151.9242879,-35.34357756,0,0,0,55.98518279,0,19997760000.0,11113685228.0,1,4801.825866,0,-77.03775781,0,10.72313582,14.06101872,1,1,4755.167556,107454000000.0,5096.752583,4727.934291,4359.115999,4797.129883,34.69168839,4.496442323,8.383289687,1
54,2000-03-20 00:00:00,4610.0,4812.140137,4822.700195,4610.0,4610.0,1539860000,4767.23291,4816.258984,4407.412207,0.0,0.0,0.0,-202.140137,212.700195,-3.920900172,-3.920900175,-0.039998377,0,0,94.85063686,140.5095577,-45.65892084,0,0,0,48.35240406,0,18457900000.0,11265987359.0,1,4715.941358,0,-125.9812181,1,4.969024452,8.131283129,1,1,4682.583778,102607000000.0,5094.900971,4730.842866,4366.784762,4609.0,8.0896466,18.83976853,-20.21603241,-1
