,Date,AdjClose,Open,High,Low,Close,Volume,avg7,avg10,avg50,avg100,avg200,avg253,SPD_OPEN/CLOSE,SPD_HIGH/LOW,Adj_Close_Returns,Close_Returns,Log_Returns,pos_string,count_pos_string,macd,signal,hist,MACD_1DAY_strategy,MACD_9DAY_strategy,MACD_CONVERGENCE_strategy,RSI,RSI_strategy,OBV,OBV_EMA,OBV_strategy,TSF,TSF_strategy,WILLR,WILLR_strategy,STOCH_K,STOCH_D,STOCH_K_strategy,STOCH_D_strategy,EMA,TEMA,upperband,middleband,lowerband,MOM,stok,stod,ROC,CCI,direction
45,2000-03-07 00:00:00,59.05062485,101.338432,102.294456,97.215584,98.47036,10496715,59.35262571,60.30830956,0.0,0.0,0.0,0.0,-2.868072,5.078872,-0.060610149,-0.060644404,-0.000606285,0,0,-1.94988926,-1.536675455,-0.413213805,0,0,0,40.56994676,0,-56400630,-7716935.382,-1,57.20351196,0,-118.1395451,1,-5.58138392,-7.442529177,1,1,59.40585571,199237.6238,70.36529422,63.49558767,56.62588112,58.05062485,8.152133526,26.98195925,-11.77729816,-87.65718716,-1
46,2000-03-08 00:00:00,60.91384506,98.47036,102.17495,98.231361,101.577438,8761714,59.49595097,60.16497879,0.0,0.0,0.0,0.0,3.107078,3.943589,3.15529297,3.155343395,0.031065366,1,1,-1.813879649,-1.592116294,-0.221763355,0,0,0,45.97550933,0,-47638916,-8667409.272,-1,57.77484185,-1,-93.9534694,1,-9.922477024,-6.848224621,1,1,60.15985039,207053.8444,70.18468104,63.28387215,56.38306326,59.91384506,33.74998836,18.04345134,-5.555584471,-67.60361994,1
47,2000-03-09 00:00:00,61.9171524,101.816444,103.250481,99.545891,103.250481,6625469,59.92592784,60.02165298,0.0,0.0,0.0,0.0,1.434037,3.70459,1.647092449,1.647061624,0.01633675,1,2,-1.606612505,-1.595015536,-0.011596969,0,0,0,48.68231053,0,-41013447,-9423277.566,-1,58.91318797,0,-75.5951986,0,4.103928968,-3.799977325,1,1,61.0385014,216417.082,69.55990623,62.9886887,56.41747116,60.9171524,56.09377528,32.66529906,-2.702726357,-44.35417131,1
48,2000-03-10 00:00:00,60.34055328,102.891968,104.206497,100.382408,100.621414,7419487,60.33543505,59.86399307,0.0,0.0,0.0,0.0,-2.270554,3.824089,-2.546304311,-2.546300002,-0.025792837,0,0,-1.551683334,-1.586349096,0.034665762,0,0,0,44.87723127,0,-48432934,-10318398.54,-1,59.33804795,0,-102.3437322,1,9.369199923,1.183550622,1,1,60.68952734,212665.2161,69.02565452,62.65767252,56.28969052,59.34055328,25.42733689,38.42370018,-3.218429935,-43.23041851,-1
49,2000-03-13 00:00:00,61.73797989,99.426384,104.206497,97.992355,102.951721,8233066,60.70910645,60.04673424,64.78890678,0.0,0.0,0.0,3.525337,6.214142,2.315899555,2.315915576,0.022894896,1,1,-1.379489031,-1.544977083,0.165488052,0,0,0,48.70429701,0,-40199868,-10991958.32,-1,60.14800061,0,-59.55052757,0,20.8368472,11.4366587,0,1,61.21375361,218317.7731,68.19936966,62.34542447,56.49147928,60.73797989,62.98081457,48.16730891,-2.545256709,-25.10323457,1
50,2000-03-14 00:00:00,62.27545547,103.011475,105.162521,102.652962,103.847992,8340490,60.7602926,60.38354836,64.79880638,0.0,0.0,0.0,0.836517,2.509559,0.870575271,0.870574082,0.008668076,1,2,-1.185982747,-1.473178215,0.287195469,0,0,0,50.13819197,0,-31859378,-11454212.01,-1,60.94732377,0,-42.69660893,0,31.80304376,20.66969696,0,0,61.74460454,224142.9404,67.76324856,62.16114789,56.55904721,61.27545547,51.66669781,46.69161642,0.578681441,-1.636590577,1
51,2000-03-15 00:00:00,61.34383392,102.772469,103.489487,101.457932,102.294456,5926531,61.08277784,60.77053146,64.6970092,0.0,0.0,0.0,-0.478013,2.031555,-1.495969069,-1.49597115,-0.015072715,0,0,-1.095177174,-1.397578007,0.302400833,0,0,0,47.65173722,0,-37785909,-12027660.0,-1,61.65922995,0,-71.91006038,0,41.94760104,31.529164,0,0,61.54421923,221932.0403,67.16869859,61.91373825,56.65877791,60.34383392,23.33337541,45.99362926,2.392341999,-30.30514681,-1
52,2000-03-16 00:00:00,62.4905014,104.206497,104.983269,103.130974,104.206497,6927135,61.57418878,61.10735359,64.66324638,0.0,0.0,0.0,0.0,1.852295,1.869246519,1.869154082,0.018519908,1,1,-0.920080507,-1.302078507,0.381998001,0,0,0,50.8805861,0,-30858774,-12430984.4,-1,62.51290487,0,-35.95510541,0,49.81274176,41.18779552,0,0,62.01736032,227175.8484,66.41012118,61.69192378,56.97372637,61.4905014,40.41665493,38.47224272,6.082754147,20.22224281,1
53,2000-03-17 00:00:00,63.06379318,103.489487,106.77581,102.951721,105.162521,9264736,61.88132422,61.22201767,64.59584839,0.0,0.0,0.0,1.673034,3.824089,0.917406271,0.91743224,0.009132237,1,2,-0.726678582,-1.186998522,0.46031994,0,0,0,52.45940726,0,-21594038,-12624063.71,-1,63.15866982,0,-27.00000653,0,55.04494256,48.93509512,0,0,62.54057675,233070.0931,65.82099277,61.5349488,57.24890483,62.06379318,49.15727194,37.63576743,9.725771772,84.69348385,1
54,2000-03-20 00:00:00,64.64035034,105.162521,108.389099,105.102776,107.791588,6865421,62.2703525,61.77740898,64.58288925,0.0,0.0,0.0,2.629067,3.286323,2.499940267,2.50000378,0.02469203,1,3,-0.441106377,-1.037820093,0.596713716,0,0,0,56.59152755,0,-14728617,-12667707.31,-1,63.9745309,0,-7.873971856,-1,76.3903054,60.41599657,0,0,63.59046355,245203.2799,65.24776645,61.42574674,57.60372702,63.64035034,66.81035459,52.12809382,9.333317676,157.516302,1
